Taxon	Taxon	Taxon	barcode02	barcode02	barcode02	barcode14	barcode14	barcode14	barcode26	barcode26	barcode26	barcode38	barcode38	barcode38	stringent_demultiplex_barcode02	stringent_demultiplex_barcode02	stringent_demultiplex_barcode02	stringent_demultiplex_barcode14	stringent_demultiplex_barcode14	stringent_demultiplex_barcode14	stringent_demultiplex_barcode26	stringent_demultiplex_barcode26	stringent_demultiplex_barcode26	stringent_demultiplex_barcode38	stringent_demultiplex_barcode38	stringent_demultiplex_barcode38
unclassified Massilia	2609279	no_rank	2.0	0.0	37.0	0.0	0.0	-inf	0.0	0.0	-inf	0.0	0.0	-inf	2.0	0.0	37.0	0.0	0.0	-inf	0.0	0.0	-inf	0.0	0.0	-inf
Massilia sp. LPB0304	2769491	species	2.0	2.0	37.0	0.0	0.0	-inf	0.0	0.0	-inf	0.0	0.0	-inf	2.0	2.0	37.0	0.0	0.0	-inf	0.0	0.0	-inf	0.0	0.0	-inf
Collimonas	202907	genus	0.0	0.0	-inf	0.0	0.0	-inf	4.0	0.0	62.5	1.0	0.0	46.0	0.0	0.0	-inf	0.0	0.0	-inf	4.0	0.0	62.5	1.0	0.0	46.0
Collimonas arenae	279058	species	0.0	0.0	-inf	0.0	0.0	-inf	1.0	1.0	75.0	1.0	1.0	46.0	0.0	0.0	-inf	0.0	0.0	-inf	1.0	1.0	75.0	1.0	1.0	46.0
Collimonas pratensis	279113	species	0.0	0.0	-inf	0.0	0.0	-inf	3.0	3.0	58.333333333333336	0.0	0.0	-inf	0.0	0.0	-inf	0.0	0.0	-inf	3.0	3.0	58.333333333333336	0.0	0.0	-inf
Herminiimonas	303379	genus	0.0	0.0	-inf	0.0	0.0	-inf	1.0	0.0	83.0	0.0	0.0	-inf	0.0	0.0	-inf	0.0	0.0	-inf	1.0	0.0	83.0	0.0	0.0	-inf
Herminiimonas arsenitoxidans	1809410	species	0.0	0.0	-inf	0.0	0.0	-inf	1.0	1.0	83.0	0.0	0.0	-inf	0.0	0.0	-inf	0.0	0.0	-inf	1.0	1.0	83.0	0.0	0.0	-inf
Undibacterium	401469	genus	0.0	0.0	-inf	0.0	0.0	-inf	1.0	0.0	75.0	1.0	0.0	78.0	0.0	0.0	-inf	0.0	0.0	-inf	1.0	0.0	75.0	1.0	0.0	78.0
Undibacterium parvum	401471	species	0.0	0.0	-inf	0.0	0.0	-inf	1.0	1.0	75.0	1.0	1.0	78.0	0.0	0.0	-inf	0.0	0.0	-inf	1.0	1.0	75.0	1.0	1.0	78.0
Noviherbaspirillum	1344552	genus	0.0	0.0	-inf	0.0	0.0	-inf	1.0	0.0	26.0	0.0	0.0	-inf	0.0	0.0	-inf	0.0	0.0	-inf	1.0	0.0	26.0	0.0	0.0	-inf
unclassified Noviherbaspirillum	2617509	no_rank	0.0	0.0	-inf	0.0	0.0	-inf	1.0	0.0	26.0	0.0	0.0	-inf	0.0	0.0	-inf	0.0	0.0	-inf	1.0	0.0	26.0	0.0	0.0	-inf
Noviherbaspirillum sp. UKPF54	2601898	species	0.0	0.0	-inf	0.0	0.0	-inf	1.0	1.0	26.0	0.0	0.0	-inf	0.0	0.0	-inf	0.0	0.0	-inf	1.0	1.0	26.0	0.0	0.0	-inf
Comamonadaceae	80864	family	11.0	0.0	36.27272727272727	24.0	3.0	59.583333333333336	53.0	5.0	70.58490566037736	35.0	8.0	71.65714285714286	11.0	0.0	36.27272727272727	24.0	3.0	59.583333333333336	53.0	5.0	70.58490566037736	35.0	8.0	71.65714285714286
Comamonas	283	genus	2.0	0.0	34.5	2.0	0.0	49.5	2.0	0.0	48.5	2.0	0.0	75.5	2.0	0.0	34.5	2.0	0.0	49.5	2.0	0.0	48.5	2.0	0.0	75.5
Comamonas testosteroni	285	species	1.0	1.0	45.0	0.0	0.0	-inf	2.0	2.0	48.5	1.0	1.0	83.0	1.0	1.0	45.0	0.0	0.0	-inf	2.0	2.0	48.5	1.0	1.0	83.0
Comamonas aquatica	225991	species	1.0	1.0	24.0	0.0	0.0	-inf	0.0	0.0	-inf	0.0	0.0	-inf	1.0	1.0	24.0	0.0	0.0	-inf	0.0	0.0	-inf	0.0	0.0	-inf
Comamonas kerstersii	225992	species	0.0	0.0	-inf	1.0	1.0	33.0	0.0	0.0	-inf	1.0	1.0	68.0	0.0	0.0	-inf	1.0	1.0	33.0	0.0	0.0	-inf	1.0	1.0	68.0
unclassified Comamonas	2638500	no_rank	0.0	0.0	-inf	1.0	0.0	66.0	0.0	0.0	-inf	0.0	0.0	-inf	0.0	0.0	-inf	1.0	0.0	66.0	0.0	0.0	-inf	0.0	0.0	-inf
Comamonas sp. NLF-7-7	2597701	species	0.0	0.0	-inf	1.0	1.0	66.0	0.0	0.0	-inf	0.0	0.0	-inf	0.0	0.0	-inf	1.0	1.0	66.0	0.0	0.0	-inf	0.0	0.0	-inf
Acidovorax	12916	genus	1.0	0.0	24.0	5.0	0.0	59.4	5.0	0.0	75.6	2.0	1.0	37.0	1.0	0.0	24.0	5.0	0.0	59.4	5.0	0.0	75.6	2.0	1.0	37.0
Acidovorax avenae	80867	species	0.0	0.0	-inf	1.0	0.0	33.0	1.0	0.0	72.0	1.0	0.0	9.0	0.0	0.0	-inf	1.0	0.0	33.0	1.0	0.0	72.0	1.0	0.0	9.0
Acidovorax avenae subsp. avenae	80870	subspecies	0.0	0.0	-inf	1.0	1.0	33.0	1.0	1.0	72.0	1.0	1.0	9.0	0.0	0.0	-inf	1.0	1.0	33.0	1.0	1.0	72.0	1.0	1.0	9.0
Acidovorax carolinensis	553814	species	0.0	0.0	-inf	2.0	2.0	70.5	1.0	1.0	58.0	0.0	0.0	-inf	0.0	0.0	-inf	2.0	2.0	70.5	1.0	1.0	58.0	0.0	0.0	-inf
unclassified Acidovorax	2684926	no_rank	1.0	0.0	24.0	2.0	0.0	61.5	3.0	0.0	82.66666666666667	0.0	0.0	-inf	1.0	0.0	24.0	2.0	0.0	61.5	3.0	0.0	82.66666666666667	0.0	0.0	-inf
Acidovorax sp. RAC01	1842533	species	1.0	1.0	24.0	0.0	0.0	-inf	0.0	0.0	-inf	0.0	0.0	-inf	1.0	1.0	24.0	0.0	0.0	-inf	0.0	0.0	-inf	0.0	0.0	-inf
Acidovorax sp. T1	1858609	species	0.0	0.0	-inf	2.0	2.0	61.5	3.0	3.0	82.66666666666667	0.0	0.0	-inf	0.0	0.0	-inf	2.0	2.0	61.5	3.0	3.0	82.66666666666667	0.0	0.0	-inf
Rhodoferax	28065	genus	0.0	0.0	-inf	2.0	0.0	20.5	3.0	0.0	75.0	2.0	0.0	62.0	0.0	0.0	-inf	2.0	0.0	20.5	3.0	0.0	75.0	2.0	0.0	62.0
Rhodoferax sediminis	2509614	species	0.0	0.0	-inf	2.0	2.0	20.5	0.0	0.0	-inf	2.0	2.0	62.0	0.0	0.0	-inf	2.0	2.0	20.5	0.0	0.0	-inf	2.0	2.0	62.0
unclassified Rhodoferax	2627954	no_rank	0.0	0.0	-inf	0.0	0.0	-inf	3.0	0.0	75.0	0.0	0.0	-inf	0.0	0.0	-inf	0.0	0.0	-inf	3.0	0.0	75.0	0.0	0.0	-inf
Rhodoferax sp. AJA081-3	2752316	species	0.0	0.0	-inf	0.0	0.0	-inf	1.0	1.0	85.0	0.0	0.0	-inf	0.0	0.0	-inf	0.0	0.0	-inf	1.0	1.0	85.0	0.0	0.0	-inf
Rhodoferax sp. PAMC29310	2822760	species	0.0	0.0	-inf	0.0	0.0	-inf	2.0	2.0	70.0	0.0	0.0	-inf	0.0	0.0	-inf	0.0	0.0	-inf	2.0	2.0	70.0	0.0	0.0	-inf
Variovorax	34072	genus	1.0	0.0	30.0	1.0	0.0	35.0	0.0	0.0	-inf	0.0	0.0	-inf	1.0	0.0	30.0	1.0	0.0	35.0	0.0	0.0	-inf	0.0	0.0	-inf
Variovorax paradoxus	34073	species	1.0	0.0	30.0	0.0	0.0	-inf	0.0	0.0	-inf	0.0	0.0	-inf	1.0	0.0	30.0	0.0	0.0	-inf	0.0	0.0	-inf	0.0	0.0	-inf
Variovorax paradoxus EPS	595537	strain	1.0	1.0	30.0	0.0	0.0	-inf	0.0	0.0	-inf	0.0	0.0	-inf	1.0	1.0	30.0	0.0	0.0	-inf	0.0	0.0	-inf	0.0	0.0	-inf
unclassified Variovorax	663243	no_rank	0.0	0.0	-inf	1.0	0.0	35.0	0.0	0.0	-inf	0.0	0.0	-inf	0.0	0.0	-inf	1.0	0.0	35.0	0.0	0.0	-inf	0.0	0.0	-inf
Variovorax sp. HW608	1034889	species	0.0	0.0	-inf	1.0	1.0	35.0	0.0	0.0	-inf	0.0	0.0	-inf	0.0	0.0	-inf	1.0	1.0	35.0	0.0	0.0	-inf	0.0	0.0	-inf
Hydrogenophaga	47420	genus	3.0	0.0	34.666666666666664	0.0	0.0	-inf	10.0	0.0	73.1	6.0	0.0	80.66666666666667	3.0	0.0	34.666666666666664	0.0	0.0	-inf	10.0	0.0	73.1	6.0	0.0	80.66666666666667
Hydrogenophaga crassostreae	1763535	species	0.0	0.0	-inf	0.0	0.0	-inf	2.0	2.0	67.5	0.0	0.0	-inf	0.0	0.0	-inf	0.0	0.0	-inf	2.0	2.0	67.5	0.0	0.0	-inf
unclassified Hydrogenophaga	2610897	no_rank	3.0	0.0	34.666666666666664	0.0	0.0	-inf	8.0	0.0	74.5	6.0	0.0	80.66666666666667	3.0	0.0	34.666666666666664	0.0	0.0	-inf	8.0	0.0	74.5	6.0	0.0	80.66666666666667
Hydrogenophaga sp. RAC07	1842537	species	1.0	1.0	11.0	0.0	0.0	-inf	0.0	0.0	-inf	0.0	0.0	-inf	1.0	1.0	11.0	0.0	0.0	-inf	0.0	0.0	-inf	0.0	0.0	-inf
Hydrogenophaga sp. NH-16	2184519	species	1.0	1.0	29.0	0.0	0.0	-inf	0.0	0.0	-inf	4.0	4.0	87.75	1.0	1.0	29.0	0.0	0.0	-inf	0.0	0.0	-inf	4.0	4.0	87.75
Hydrogenophaga sp. BA0156	2716225	species	1.0	1.0	64.0	0.0	0.0	-inf	8.0	8.0	74.5	2.0	2.0	66.5	1.0	1.0	64.0	0.0	0.0	-inf	8.0	8.0	74.5	2.0	2.0	66.5
Polaromonas	52972	genus	1.0	0.0	55.0	0.0	0.0	-inf	0.0	0.0	-inf	0.0	0.0	-inf	1.0	0.0	55.0	0.0	0.0	-inf	0.0	0.0	-inf	0.0	0.0	-inf
unclassified Polaromonas	2638319	no_rank	1.0	0.0	55.0	0.0	0.0	-inf	0.0	0.0	-inf	0.0	0.0	-inf	1.0	0.0	55.0	0.0	0.0	-inf	0.0	0.0	-inf	0.0	0.0	-inf
Polaromonas sp. JS666	296591	species	1.0	1.0	55.0	0.0	0.0	-inf	0.0	0.0	-inf	0.0	0.0	-inf	1.0	1.0	55.0	0.0	0.0	-inf	0.0	0.0	-inf	0.0	0.0	-inf
Delftia	80865	genus	0.0	0.0	-inf	0.0	0.0	-inf	3.0	1.0	50.333333333333336	0.0	0.0	-inf	0.0	0.0	-inf	0.0	0.0	-inf	3.0	1.0	50.333333333333336	0.0	0.0	-inf
Delftia acidovorans	80866	species	0.0	0.0	-inf	0.0	0.0	-inf	1.0	1.0	49.0	0.0	0.0	-inf	0.0	0.0	-inf	0.0	0.0	-inf	1.0	1.0	49.0	0.0	0.0	-inf
unclassified Delftia	2613839	no_rank	0.0	0.0	-inf	0.0	0.0	-inf	1.0	0.0	52.0	0.0	0.0	-inf	0.0	0.0	-inf	0.0	0.0	-inf	1.0	0.0	52.0	0.0	0.0	-inf
Delftia sp. Cs1-4	742013	species	0.0	0.0	-inf	0.0	0.0	-inf	1.0	1.0	52.0	0.0	0.0	-inf	0.0	0.0	-inf	0.0	0.0	-inf	1.0	1.0	52.0	0.0	0.0	-inf
Alicycliphilus	201096	genus	1.0	0.0	20.0	0.0	0.0	-inf	0.0	0.0	-inf	0.0	0.0	-inf	1.0	0.0	20.0	0.0	0.0	-inf	0.0	0.0	-inf	0.0	0.0	-inf
Alicycliphilus denitrificans	179636	species	1.0	1.0	20.0	0.0	0.0	-inf	0.0	0.0	-inf	0.0	0.0	-inf	1.0	1.0	20.0	0.0	0.0	-inf	0.0	0.0	-inf	0.0	0.0	-inf
Schlegelella	215579	genus	0.0	0.0	-inf	0.0	0.0	-inf	2.0	0.0	76.0	0.0	0.0	-inf	0.0	0.0	-inf	0.0	0.0	-inf	2.0	0.0	76.0	0.0	0.0	-inf
Schlegelella thermodepolymerans	215580	species	0.0	0.0	-inf	0.0	0.0	-inf	2.0	2.0	76.0	0.0	0.0	-inf	0.0	0.0	-inf	0.0	0.0	-inf	2.0	2.0	76.0	0.0	0.0	-inf
Diaphorobacter	238749	genus	1.0	0.0	43.0	0.0	0.0	-inf	0.0	0.0	-inf	4.0	0.0	60.75	1.0	0.0	43.0	0.0	0.0	-inf	0.0	0.0	-inf	4.0	0.0	60.75
Diaphorobacter aerolatus	1288495	species	0.0	0.0	-inf	0.0	0.0	-inf	0.0	0.0	-inf	3.0	3.0	71.0	0.0	0.0	-inf	0.0	0.0	-inf	0.0	0.0	-inf	3.0	3.0	71.0
unclassified Diaphorobacter	2649760	no_rank	1.0	0.0	43.0	0.0	0.0	-inf	0.0	0.0	-inf	1.0	0.0	30.0	1.0	0.0	43.0	0.0	0.0	-inf	0.0	0.0	-inf	1.0	0.0	30.0
Diaphorobacter sp. HDW4A	2714924	species	1.0	1.0	43.0	0.0	0.0	-inf	0.0	0.0	-inf	1.0	1.0	30.0	1.0	1.0	43.0	0.0	0.0	-inf	0.0	0.0	-inf	1.0	1.0	30.0
Curvibacter	281915	genus	0.0	0.0	-inf	0.0	0.0	-inf	1.0	0.0	71.0	0.0	0.0	-inf	0.0	0.0	-inf	0.0	0.0	-inf	1.0	0.0	71.0	0.0	0.0	-inf
unclassified Curvibacter	2685271	no_rank	0.0	0.0	-inf	0.0	0.0	-inf	1.0	0.0	71.0	0.0	0.0	-inf	0.0	0.0	-inf	0.0	0.0	-inf	1.0	0.0	71.0	0.0	0.0	-inf
Curvibacter sp. AEP1-3	1844971	species	0.0	0.0	-inf	0.0	0.0	-inf	1.0	1.0	71.0	0.0	0.0	-inf	0.0	0.0	-inf	0.0	0.0	-inf	1.0	1.0	71.0	0.0	0.0	-inf
Kinneretia	683756	genus	1.0	0.0	54.0	0.0	0.0	-inf	3.0	0.0	74.0	0.0	0.0	-inf	1.0	0.0	54.0	0.0	0.0	-inf	3.0	0.0	74.0	0.0	0.0	-inf
unclassified Kinneretia	2632542	no_rank	1.0	0.0	54.0	0.0	0.0	-inf	3.0	0.0	74.0	0.0	0.0	-inf	1.0	0.0	54.0	0.0	0.0	-inf	3.0	0.0	74.0	0.0	0.0	-inf
Kinneretia sp. DAIF2	2714952	species	1.0	1.0	54.0	0.0	0.0	-inf	3.0	3.0	74.0	0.0	0.0	-inf	1.0	1.0	54.0	0.0	0.0	-inf	3.0	3.0	74.0	0.0	0.0	-inf
Candidatus Symbiobacter	1436289	genus	0.0	0.0	-inf	0.0	0.0	-inf	2.0	0.0	89.0	1.0	0.0	83.0	0.0	0.0	-inf	0.0	0.0	-inf	2.0	0.0	89.0	1.0	0.0	83.0
Candidatus Symbiobacter mobilis	1436290	species	0.0	0.0	-inf	0.0	0.0	-inf	2.0	0.0	89.0	1.0	0.0	83.0	0.0	0.0	-inf	0.0	0.0	-inf	2.0	0.0	89.0	1.0	0.0	83.0
Candidatus Symbiobacter mobilis CR	946483	strain	0.0	0.0	-inf	0.0	0.0	-inf	2.0	2.0	89.0	1.0	1.0	83.0	0.0	0.0	-inf	0.0	0.0	-inf	2.0	2.0	89.0	1.0	1.0	83.0
Melaminivora	1649468	genus	0.0	0.0	-inf	11.0	0.0	70.27272727272727	17.0	0.0	70.29411764705883	10.0	0.0	78.8	0.0	0.0	-inf	11.0	0.0	70.27272727272727	17.0	0.0	70.29411764705883	10.0	0.0	78.8
unclassified Melaminivora	2641902	no_rank	0.0	0.0	-inf	11.0	0.0	70.27272727272727	17.0	0.0	70.29411764705883	10.0	0.0	78.8	0.0	0.0	-inf	11.0	0.0	70.27272727272727	17.0	0.0	70.29411764705883	10.0	0.0	78.8
Melaminivora sp. SC2-9	2109913	species	0.0	0.0	-inf	11.0	11.0	70.27272727272727	17.0	17.0	70.29411764705883	10.0	10.0	78.8	0.0	0.0	-inf	11.0	11.0	70.27272727272727	17.0	17.0	70.29411764705883	10.0	10.0	78.8
Burkholderiaceae	119060	family	13.0	0.0	46.38461538461539	15.0	0.0	38.333333333333336	34.0	6.0	55.0	6.0	0.0	51.333333333333336	13.0	0.0	46.38461538461539	15.0	0.0	38.333333333333336	34.0	6.0	55.0	6.0	0.0	51.333333333333336
Burkholderia	32008	genus	3.0	0.0	48.66666666666666	7.0	0.0	28.857142857142858	8.0	1.0	57.875	0.0	0.0	-inf	3.0	0.0	48.66666666666666	7.0	0.0	28.857142857142858	8.0	1.0	57.875	0.0	0.0	-inf
Burkholderia glumae	337	species	0.0	0.0	-inf	0.0	0.0	-inf	2.0	1.0	65.0	0.0	0.0	-inf	0.0	0.0	-inf	0.0	0.0	-inf	2.0	1.0	65.0	0.0	0.0	-inf
Burkholderia glumae AU6208	1176514	strain	0.0	0.0	-inf	0.0	0.0	-inf	1.0	1.0	78.0	0.0	0.0	-inf	0.0	0.0	-inf	0.0	0.0	-inf	1.0	1.0	78.0	0.0	0.0	-inf
Burkholderia cepacia complex	87882	species_group	1.0	0.0	62.0	2.0	0.0	31.5	2.0	0.0	62.5	0.0	0.0	-inf	1.0	0.0	62.0	2.0	0.0	31.5	2.0	0.0	62.5	0.0	0.0	-inf
Burkholderia cenocepacia	95486	species	1.0	1.0	62.0	2.0	2.0	31.5	1.0	1.0	72.0	0.0	0.0	-inf	1.0	1.0	62.0	2.0	2.0	31.5	1.0	1.0	72.0	0.0	0.0	-inf
Burkholderia lata	482957	species	0.0	0.0	-inf	0.0	0.0	-inf	1.0	1.0	53.0	0.0	0.0	-inf	0.0	0.0	-inf	0.0	0.0	-inf	1.0	1.0	53.0	0.0	0.0	-inf
pseudomallei group	111527	species_group	2.0	0.0	42.0	3.0	0.0	30.33333333333333	1.0	0.0	64.0	0.0	0.0	-inf	2.0	0.0	42.0	3.0	0.0	30.33333333333333	1.0	0.0	64.0	0.0	0.0	-inf
Burkholderia pseudomallei	28450	species	1.0	1.0	43.0	2.0	0.0	26.5	0.0	0.0	-inf	0.0	0.0	-inf	1.0	1.0	43.0	2.0	0.0	26.5	0.0	0.0	-inf	0.0	0.0	-inf
Burkholderia pseudomallei MSHR840	1249475	strain	0.0	0.0	-inf	1.0	1.0	25.0	0.0	0.0	-inf	0.0	0.0	-inf	0.0	0.0	-inf	1.0	1.0	25.0	0.0	0.0	-inf	0.0	0.0	-inf
Burkholderia pseudomallei PB08298010	1249658	strain	0.0	0.0	-inf	1.0	1.0	28.0	0.0	0.0	-inf	0.0	0.0	-inf	0.0	0.0	-inf	1.0	1.0	28.0	0.0	0.0	-inf	0.0	0.0	-inf
Burkholderia oklahomensis	342113	species	0.0	0.0	-inf	1.0	0.0	38.0	0.0	0.0	-inf	0.0	0.0	-inf	0.0	0.0	-inf	1.0	0.0	38.0	0.0	0.0	-inf	0.0	0.0	-inf
Burkholderia oklahomensis C6786	441162	strain	0.0	0.0	-inf	1.0	1.0	38.0	0.0	0.0	-inf	0.0	0.0	-inf	0.0	0.0	-inf	1.0	1.0	38.0	0.0	0.0	-inf	0.0	0.0	-inf
Burkholderia sp. MSMB1588	1636423	species	0.0	0.0	-inf	0.0	0.0	-inf	1.0	1.0	64.0	0.0	0.0	-inf	0.0	0.0	-inf	0.0	0.0	-inf	1.0	1.0	64.0	0.0	0.0	-inf
Burkholderia sp. MSMB0266	1637837	species	1.0	1.0	41.0	0.0	0.0	-inf	0.0	0.0	-inf	0.0	0.0	-inf	1.0	1.0	41.0	0.0	0.0	-inf	0.0	0.0	-inf	0.0	0.0	-inf
unclassified Burkholderia	2613784	no_rank	0.0	0.0	-inf	2.0	0.0	24.0	2.0	0.0	42.5	0.0	0.0	-inf	0.0	0.0	-inf	2.0	0.0	24.0	2.0	0.0	42.5	0.0	0.0	-inf
Burkholderia sp. YI23	1097668	species	0.0	0.0	-inf	1.0	1.0	22.0	2.0	2.0	42.5	0.0	0.0	-inf	0.0	0.0	-inf	1.0	1.0	22.0	2.0	2.0	42.5	0.0	0.0	-inf
Burkholderia sp. NRF60-BP8	1637853	species	0.0	0.0	-inf	1.0	1.0	26.0	0.0	0.0	-inf	0.0	0.0	-inf	0.0	0.0	-inf	1.0	1.0	26.0	0.0	0.0	-inf	0.0	0.0	-inf
Polynucleobacter	44013	genus	0.0	0.0	-inf	1.0	0.0	30.0	2.0	0.0	72.0	0.0	0.0	-inf	0.0	0.0	-inf	1.0	0.0	30.0	2.0	0.0	72.0	0.0	0.0	-inf
Polynucleobacter asymbioticus	576611	species	0.0	0.0	-inf	0.0	0.0	-inf	1.0	1.0	78.0	0.0	0.0	-inf	0.0	0.0	-inf	0.0	0.0	-inf	1.0	1.0	78.0	0.0	0.0	-inf
unclassified Polynucleobacter	2640945	no_rank	0.0	0.0	-inf	1.0	0.0	30.0	1.0	0.0	66.0	0.0	0.0	-inf	0.0	0.0	-inf	1.0	0.0	30.0	1.0	0.0	66.0	0.0	0.0	-inf
Polynucleobacter sp. MWH-UH35A	1855619	species	0.0	0.0	-inf	0.0	0.0	-inf	1.0	1.0	66.0	0.0	0.0	-inf	0.0	0.0	-inf	0.0	0.0	-inf	1.0	1.0	66.0	0.0	0.0	-inf
Polynucleobacter sp. MWH-Spelu-300-X4	2689109	species	0.0	0.0	-inf	1.0	1.0	30.0	0.0	0.0	-inf	0.0	0.0	-inf	0.0	0.0	-inf	1.0	1.0	30.0	0.0	0.0	-inf	0.0	0.0	-inf
Lautropia	47670	genus	0.0	0.0	-inf	3.0	0.0	79.33333333333333	6.0	0.0	59.16666666666666	2.0	0.0	66.5	0.0	0.0	-inf	3.0	0.0	79.33333333333333	6.0	0.0	59.16666666666666	2.0	0.0	66.5
Lautropia mirabilis	47671	species	0.0	0.0	-inf	3.0	3.0	79.33333333333333	6.0	6.0	59.16666666666666	2.0	2.0	66.5	0.0	0.0	-inf	3.0	3.0	79.33333333333333	6.0	6.0	59.16666666666666	2.0	2.0	66.5
Ralstonia	48736	genus	0.0	0.0	-inf	1.0	0.0	38.0	1.0	0.0	51.0	2.0	0.0	55.5	0.0	0.0	-inf	1.0	0.0	38.0	1.0	0.0	51.0	2.0	0.0	55.5
Ralstonia solanacearum	305	species	0.0	0.0	-inf	0.0	0.0	-inf	1.0	1.0	51.0	1.0	1.0	37.0	0.0	0.0	-inf	0.0	0.0	-inf	1.0	1.0	51.0	1.0	1.0	37.0
Ralstonia syzygii	28097	species	0.0	0.0	-inf	0.0	0.0	-inf	0.0	0.0	-inf	1.0	0.0	74.0	0.0	0.0	-inf	0.0	0.0	-inf	0.0	0.0	-inf	1.0	0.0	74.0
Ralstonia syzygii subsp. celebesensis	1310168	subspecies	0.0	0.0	-inf	0.0	0.0	-inf	0.0	0.0	-inf	1.0	1.0	74.0	0.0	0.0	-inf	0.0	0.0	-inf	0.0	0.0	-inf	1.0	1.0	74.0
Ralstonia mannitolilytica	105219	species	0.0	0.0	-inf	1.0	1.0	38.0	0.0	0.0	-inf	0.0	0.0	-inf	0.0	0.0	-inf	1.0	1.0	38.0	0.0	0.0	-inf	0.0	0.0	-inf
Pandoraea	93217	genus	1.0	0.0	30.0	0.0	0.0	-inf	1.0	0.0	68.0	0.0	0.0	-inf	1.0	0.0	30.0	0.0	0.0	-inf	1.0	0.0	68.0	0.0	0.0	-inf
Pandoraea norimbergensis	93219	species	1.0	1.0	30.0	0.0	0.0	-inf	0.0	0.0	-inf	0.0	0.0	-inf	1.0	1.0	30.0	0.0	0.0	-inf	0.0	0.0	-inf	0.0	0.0	-inf
Pandoraea thiooxydans	445709	species	0.0	0.0	-inf	0.0	0.0	-inf	1.0	1.0	68.0	0.0	0.0	-inf	0.0	0.0	-inf	0.0	0.0	-inf	1.0	1.0	68.0	0.0	0.0	-inf
Cupriavidus	106589	genus	6.0	0.0	43.333333333333336	3.0	0.0	22.33333333333333	1.0	0.0	51.0	1.0	0.0	14.0	6.0	0.0	43.333333333333336	3.0	0.0	22.33333333333333	1.0	0.0	51.0	1.0	0.0	14.0
Cupriavidus basilensis	68895	species	2.0	2.0	44.0	0.0	0.0	-inf	0.0	0.0	-inf	0.0	0.0	-inf	2.0	2.0	44.0	0.0	0.0	-inf	0.0	0.0	-inf	0.0	0.0	-inf
Cupriavidus pauculus	82633	species	0.0	0.0	-inf	2.0	2.0	17.5	0.0	0.0	-inf	0.0	0.0	-inf	0.0	0.0	-inf	2.0	2.0	17.5	0.0	0.0	-inf	0.0	0.0	-inf
Cupriavidus necator	106590	species	0.0	0.0	-inf	0.0	0.0	-inf	0.0	0.0	-inf	1.0	1.0	14.0	0.0	0.0	-inf	0.0	0.0	-inf	0.0	0.0	-inf	1.0	1.0	14.0
Cupriavidus taiwanensis	164546	species	3.0	3.0	42.66666666666666	0.0	0.0	-inf	0.0	0.0	-inf	0.0	0.0	-inf	3.0	3.0	42.66666666666666	0.0	0.0	-inf	0.0	0.0	-inf	0.0	0.0	-inf
Cupriavidus malaysiensis	367825	species	0.0	0.0	-inf	0.0	0.0	-inf	1.0	1.0	51.0	0.0	0.0	-inf	0.0	0.0	-inf	0.0	0.0	-inf	1.0	1.0	51.0	0.0	0.0	-inf
unclassified Cupriavidus	2640874	no_rank	1.0	0.0	44.0	1.0	0.0	32.0	0.0	0.0	-inf	0.0	0.0	-inf	1.0	0.0	44.0	1.0	0.0	32.0	0.0	0.0	-inf	0.0	0.0	-inf
Cupriavidus sp. USMAHM13	1389192	species	0.0	0.0	-inf	1.0	1.0	32.0	0.0	0.0	-inf	0.0	0.0	-inf	0.0	0.0	-inf	1.0	1.0	32.0	0.0	0.0	-inf	0.0	0.0	-inf
Cupriavidus sp. KK10	1478019	species	1.0	1.0	44.0	0.0	0.0	-inf	0.0	0.0	-inf	0.0	0.0	-inf	1.0	1.0	44.0	0.0	0.0	-inf	0.0	0.0	-inf	0.0	0.0	-inf
Limnobacter	131079	genus	1.0	0.0	29.0	0.0	0.0	-inf	1.0	0.0	66.0	0.0	0.0	-inf	1.0	0.0	29.0	0.0	0.0	-inf	1.0	0.0	66.0	0.0	0.0	-inf
unclassified Limnobacter	2630203	no_rank	1.0	0.0	29.0	0.0	0.0	-inf	1.0	0.0	66.0	0.0	0.0	-inf	1.0	0.0	29.0	0.0	0.0	-inf	1.0	0.0	66.0	0.0	0.0	-inf
Limnobacter sp. SAORIC-580	2732163	species	1.0	1.0	29.0	0.0	0.0	-inf	1.0	1.0	66.0	0.0	0.0	-inf	1.0	1.0	29.0	0.0	0.0	-inf	1.0	1.0	66.0	0.0	0.0	-inf
Paraburkholderia	1822464	genus	1.0	0.0	60.0	0.0	0.0	-inf	5.0	1.0	49.4	0.0	0.0	-inf	1.0	0.0	60.0	0.0	0.0	-inf	5.0	1.0	49.4	0.0	0.0	-inf
Paraburkholderia tropica	92647	species	0.0	0.0	-inf	0.0	0.0	-inf	1.0	1.0	52.0	0.0	0.0	-inf	0.0	0.0	-inf	0.0	0.0	-inf	1.0	1.0	52.0	0.0	0.0	-inf
Paraburkholderia phymatum	148447	species	0.0	0.0	-inf	0.0	0.0	-inf	1.0	0.0	20.0	0.0	0.0	-inf	0.0	0.0	-inf	0.0	0.0	-inf	1.0	0.0	20.0	0.0	0.0	-inf
